date,description,amount,currency,paidBy,splitType,participants,splits
2024-03-10,Groceries,1200,INR,Rahul,EQUAL,Rahul;Priya;Meera,
2024-03-12,Netflix subscription,499,INR,Priya,EQUAL,Rahul;Priya;Meera,
2024-03-15,Electricity bill,2400,INR,Meera,EQUAL,Rahul;Priya;Meera,
2024-03-18,Weekend trip fuel,800,INR,Rahul,EQUAL,Rahul;Priya,
2024-03-22,Pizza night,1400,INR,Priya,EQUAL,Rahul;Priya;Meera,
2024-03-22,Pizza night,1400,INR,Priya,EQUAL,Rahul;Priya;Meera,
2024-03-28,Groceries March end,950,INR,Meera,EQUAL,Rahul;Priya;Meera,
2024-04-05,Team Dinner,2000,INR,Rahul,EQUAL,Rahul;Priya;Sam,
2024-04-05,Team Dinner,2200,INR,Sam,EQUAL,Rahul;Priya;Sam,
2024-04-08,Office supplies,600,INR,Priya,EQUAL,Priya;Sam,
2024-04-12,Conference ticket,$45.00,USD,Rahul,EQUAL,Rahul;Priya;Sam,
2024-04-15,Sam joins - house groceries,1800,INR,Sam,EQUAL,Rahul;Priya;Sam,
2024-04-18,Settled with Ravi,3000,INR,Rahul,EQUAL,Rahul;Priya,
2024-04-20,Movie night,800,INR,Sam,EQUAL,Rahul;Priya;Sam,
2024-04-22,Refund from restaurant,-500,INR,Priya,EQUAL,Rahul;Priya;Sam,
2024-04-24,Internet bill,999,INR,Rahul,EQUAL,Rahul;Priya;Sam,
2024-04-26,Parking fee,0,INR,Priya,EQUAL,Priya;Sam,
2024-04-28,Weekend snacks,350,INR,Sam,EQUAL,Rahul;Sam,
2024-04-30,Dinner out,1600,INR,,EQUAL,Rahul;Priya;Sam,
2024-05-02,Lunch meeting,450,INR,Rahul,EQUAL,Rahul;Priya;Sam,
2024-05-05,not-a-date,900,INR,Priya,EQUAL,Priya;Sam,
2026-12-01,Future expense,2000,INR,Rahul,EQUAL,Rahul;Priya,
2024-04-10,Meera overstay expense,500,INR,Meera,EQUAL,Rahul;Priya;Meera,
2024-03-01,Sam too early,1200,INR,Sam,EQUAL,Rahul;Priya;Sam,
2024-03-15,Dev trip expense,800,INR,Dev,EQUAL,Rahul;Dev,
2024-05-10,Weekend brunch,500,INR,Rahul,EXACT,Rahul;Priya;Sam,"[{""userId"":""Rahul"",""amount"":200},{""userId"":""Priya"",""amount"":180},{""userId"":""Sam"",""amount"":100}]"
2024-05-12,Movie outing,600,INR,Priya,RANDOM,Priya;Sam,
2024-05-15,Cab sharing,300,INR,Sam,EQUAL,Rahul;Priya;Sam,
